,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,post_release_bugs,pre_release_bugs,authors,churn_metric,change_metric
2836,1,1,1,1,8,0,6,2,1,0,5,6,6,6,0,6,0,0,0,6,110,13,68,37,30,30,37,47,29,18,2,2,2,1,1,0.44,8,8,8,6,0,0,5,1,5
2837,1,1,1,1,5,0,5,0,1,3,0,9,9,6,0,9,0,3,0,6,88,10,59,24,25,19,23,35,16,19,3,3,3,1,1,0.32,11,11,11,9,0,2,4,1,3
2838,1,1,1,1,6,0,6,0,2,0,0,8,8,8,1,8,1,0,0,7,101,11,73,43,32,17,39,49,36,13,1,1,1,1,0,0.23,8,8,8,8,1,2,3,1,3
2839,1,1,1,1,26,4,20,2,2,0,0,6,6,6,0,6,0,2,1,3,210,33,149,48,103,31,103,113,38,75,2,2,2,1,1,0.21,8,8,8,6,2,4,19,1,3
2840,1,1,1,1,14,1,12,0,3,2,3,12,12,10,2,12,0,0,2,10,245,34,184,86,109,28,116,136,76,60,5,5,5,1,1,0.15,19,19,19,12,0,4,17,1,17
2841,1,1,1,1,45,9,32,5,1,0,0,1,1,1,0,1,0,0,0,1,96,15,60,43,29,22,48,50,38,12,1,1,1,1,0,0.37,1,1,1,1,0,10,17,1,0
2842,1,1,1,1,15,1,11,2,1,2,8,20,20,18,2,20,0,2,0,18,428,67,301,137,197,71,196,231,120,111,4,4,4,1,2,0.24,30,30,30,20,0,6,21,1,0
2843,1,1,1,1,7,0,6,0,1,0,1,5,5,5,0,5,0,0,0,5,82,14,51,31,23,21,34,40,26,14,1,1,1,1,0,0.41,5,5,5,5,0,0,0,3,0
2844,1,1,1,1,12,0,11,0,1,2,6,4,4,2,0,4,0,0,0,4,108,12,79,45,40,18,64,69,40,29,1,1,1,1,0,0.23,4,4,4,4,1,5,12,2,12
2845,1,1,1,1,19,1,16,1,1,1,0,10,10,9,0,10,1,1,0,8,264,31,205,101,135,28,138,153,81,72,2,2,2,1,1,0.14,14,14,14,10,3,3,30,1,35
